id,area,name,type,type2,summary,address,tel,payex,serviceTime,tw97x,tw97y,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area,FareInfo/WorkingDay/0/Period,FareInfo/WorkingDay/0/Fare,FareInfo/WorkingDay/1/Period,FareInfo/WorkingDay/1/Fare,FareInfo/WorkingDay/2/Period,FareInfo/WorkingDay/2/Fare,FareInfo/Holiday/0/Period,FareInfo/Holiday/0/Fare,FareInfo/Holiday/1/Period,FareInfo/Holiday/1/Fare,FareInfo/Holiday/2/Period,FareInfo/Holiday/2/Fare,EntranceCoord/EntrancecoordInfo/0/Xcod,EntranceCoord/EntrancecoordInfo/0/Ycod,EntranceCoord/EntrancecoordInfo/0/Address,EntranceCoord/EntrancecoordInfo/1/Xcod,EntranceCoord/EntrancecoordInfo/1/Ycod,EntranceCoord/EntrancecoordInfo/1/Address,EntranceCoord/EntrancecoordInfo/2/Xcod,EntranceCoord/EntrancecoordInfo/2/Ycod,EntranceCoord/EntrancecoordInfo/2/Address,totallargemotor,ChargingStation,FareInfo/Holiday/3/Period,FareInfo/Holiday/3/Fare,EntranceCoord/EntrancecoordInfo/3/Xcod,EntranceCoord/EntrancecoordInfo/3/Ycod,EntranceCoord/EntrancecoordInfo/3/Address
1,萬華區,府前廣場地下停車場,1,2,為地下二層停車場，計有1998個小型車停車格，1337個機車停車位,松壽路1號地下,2722-0152,小型車全日月票4200元，夜間月票1000元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日)，小型車計時30元(9-18)，夜間計時10元(18-9)；機車計時10元(當日當次上限20元)，機車月票300元。10月21-22、28-29，11月4-5、11-12、18-19每日10時至20時小型車每小時60元,00:00:00~23:59:59,306812.928,2769892.95,2043,0,0,0,40,45,0,0,0,0,0,0,00~09,10,09~18,30,18~24,10,00~09,10,09~18,30,18~24,10,25.03648987,121.5621068,基隆路一段,25.036014,121.563163,松壽路,25.035975,121.561532,基隆路一段車行地下道,,,,,,,
2,萬華區,松壽廣場地下停車場,1,2,立體式小型車446格(含身心障礙停車位6格)。,松智路15號地下,27057716,"計時：30元/時(周一至周五9-22)、40元/時(周六至周日與行政機關放假之紀念日與民俗日9-22)、10元/時(每日22-9)，全程半小時計費。 月租：全日月票3,400元/月、日間月票2,400元/月(每日7-20)、夜間月票1,000元/月(每日19-8)。10月21-22、28-29，11月4-5、11-12、18-19每日10時至20時小型車每小時60元",00:00:00~23:59:59,307143.74,2770011.52,455,0,0,0,8,9,0,0,0,0,0,0,00~09,10,09~22,30,22~24,10,00~09,10,09~22,40,22~24,10,25.036966,121.565523,,,,,,,,,,,,,,
3,信義區,臺北市災害應變中心地下停車場,1,1,立體式小型車169格(含身心障礙停車位5格)。立體式機車208格(含身心障礙停車位5格)。,莊敬路391巷11弄2號地下,2345-3859,小型車計時30元，全日月票5000元，日間月票2600元(7-19) 機車計時10元(當日當次最高收費上限20元，隔日另計)；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,307142.121,2769087.67,169,200,0,0,3,5,0,0,0,0,0,0,00~24,30,,,,,00~24,30,,,,,25.028728,121.566111,,,,,,,,1,2,,,,,
4,信義區,雅祥公園地下停車場,1,1,立體式小型車204格(含身心障礙停車位5格)。,松隆路123巷7號地下,2766-1258,周一至周四計時40元 周五至周日及政府行政機關放假之紀念日與民俗日計時50元 全日月票4800元，夜間月票2000元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日使用) ,00:00:00~23:59:59,307703.059,2771154.51,204,0,0,0,4,5,0,0,0,0,0,0,00~24,30,,,,,00~24,40,00~18,30,,,25.04754574,121.5716298,松隆路123巷,,,,,,,,,,,,,
5,北投區,立農公園地下停車場,1,1,立體式小型車204格(含身心障礙停車位5格)。立體式機車95格(含身心障礙停車位2格)。,承德路7段372號地下,2823-0834,小型車計時30元，全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(19-8)，所在里里民全日月票3360元，一般里民全日月票3600元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,300781.892,2778989.94,204,95,0,0,6,5,0,0,0,0,0,0,00~24,20,,,,,00~24,20,,,,,25.118127,121.502995,承德路七段,,,,,,,,2,,,,,
6,北投區,捷運奇岩站轉乘停車場,1,2,平面式機車154格(含身心障礙停車位5格)。,台北市,2705-7716,計次:20元/次(隔日另計，以凌晨2時為基準)。月票:300元/月(身障者5折優惠)。,00:00:00~23:59:59,300530.56,2779877.67,0,154,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.034795,121.572818,,,,,,,,,,,,,,
7,信義區,萬華國中地下停車場,1,1,立體式小型車508格(含身心障礙停車位11格)。立體式機車211格(含身心障礙停車位4格)。,西藏路201號地下,2307-8457,小型車計時20元 全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(19-8) 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,300378.533,2769081.71,519,215,0,0,11,11,0,0,0,0,0,0,00~08,10,08~22,20,22~24,10,00~08,10,08~22,20,22~24,10,25.029537,121.49954,西藏路,,,,,,,8,4,,,,,
8,中山區,捷運劍南路站轉乘停車場,1,1,立體式小型車282格(含身心障礙停車位6格)。立體式機車52格(含身心障礙停車位2格)。,台北市中山區北安路798號1樓、B1-B2,2246-1708,"計時：小型車平日20元/時(06-22)、10元/時(22-06)，平面場收費上限80元；假日30元/時(06-11)、40元/時(11-22)、10元/時(22-06)，無最高上限，全程以半小時計。計次：機車20元/次(隔日隔次另計，以凌晨2時為基準)。月租：小型車全日2,500元/月，機車全日300元/月。",00:00:00~23:59:59,306055.31,2775322.57,288,54,0,0,0,6,0,0,0,0,0,0,,,,,,,,,,,,,25.03607,121.56306,,,,,,,,0,0,,,,,
9,信義區,國家生技研究園區停車場,1,2,大型車0格；小型車514格；機車910格,南港區研究院路1段130巷99號地下1-2層,2654-8471,"計時：小型車/大型重型機車30元/時，停車未滿30分鐘免費，第1小時以1小時計算，逾1小時以上以半小時累計。月租：全日小型車3,000元/月，大型重型機車1,000元/月，機車300元/月。計次：機車20元/次",00:00:00~23:59:59,311812.968,2771359.65,525,910,0,0,6,7,0,0,0,0,0,0,,,,,,,,,,,,,25.03472,121.56349,,,,,,,,,,,,,,
10,萬華區,台灣聯通大世界停車場,1,2,建物附設機械式小型車91格(含身心障礙停車位1格)。,成都路81號B2~B4,2523-5000,"80元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計費。月租：全日8,000元",00:00:00~23:59:59,300972.113,2770647.1,93,0,0,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,25.03457,121.56063,,,,,,,,,,,,,,
