testID,ID(停車場的編號),Area(行政區),Name(停車場名稱),Address(停車場地址),Latitude(緯度),Longitude(經度),Summary(停車場概況),Tel(停車場電話),Payex(停車場收費資訊),"Totalcar(停車場""汽車""總車位數)","Totalmotor(停車場""機車""總格位數)","Totalbike(停車場""腳踏車""總車架數)","Totalbus(停車場""大客車""總車位數)",Pregnancy_First(孕婦優先車格位數),Handicap_First(身障車格位數),Totallargemotor(重機停車位數),ChargingStation(充電站數)
1,1,萬華區,府前廣場地下停車場,臺北市萬華區松壽路1號地下,25.0360839,121.562915,為地下二層停車場，計有1998個小型車停車格，1337個機車停車位,2722-0152,小型車全日月票4200元，夜間月票1000元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日)，小型車計時30元(9-18)，夜間計時10元(18-9)；機車計時10元(當日當次上限20元)，機車月票300元。10月21-22、28-29，11月4-5、11-12、18-19每日10時至20時小型車每小時60元,2043,0,0,0,40,45,0,0
2,2,萬華區,松壽廣場地下停車場,臺北市萬華區松智路15號地下,25.0374028,121.5661444,立體式小型車446格(含身心障礙停車位6格)。,2705-7716,"計時：30元/時(周一至周五9-22)、40元/時(周六至周日與行政機關放假之紀念日與民俗日9-22)、10元/時(每日22-9)，全程半小時計費。 月租：全日月票3,400元/月、日間月票2,400元/月(每日7-20)、夜間月票1,000元/月(每日19-8)。10月21-22、28-29，11月4-5、11-12、18-19每日10時至20時小型車每小時60元",455,0,0,0,8,9,0,0
3,3,信義區,臺北市災害應變中心地下停車場,臺北市信義區莊敬路391巷11弄2號地下,25.028965,121.566345,立體式小型車169格(含身心障礙停車位5格)。立體式機車208格(含身心障礙停車位5格)。,2345-3859,小型車計時30元，全日月票5000元，日間月票2600元(7-19) 機車計時10元(當日當次最高收費上限20元，隔日另計)；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,169,200,0,0,3,5,1,2
4,4,信義區,雅祥公園地下停車場,臺北市信義區松隆路123巷7號地下,25.0475881,121.5716261,立體式小型車204格(含身心障礙停車位5格)。,2766-1258,周一至周四計時40元 周五至周日及政府行政機關放假之紀念日與民俗日計時50元 全日月票4800元，夜間月票2000元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日使用),204,0,0,0,4,5,0,0
5,5,北投區,立農公園地下停車場,臺北市北投區承德路7段372號地下,25.1184968,121.5030525,立體式小型車204格(含身心障礙停車位5格)。立體式機車95格(含身心障礙停車位2格)。,2823-0834,小型車計時30元，全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(19-8)，所在里里民全日月票3360元，一般里民全日月票3600元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,204,95,0,0,6,5,0,2
6,6,北投區,捷運奇岩站轉乘停車場,臺北市北投區台北市,25.1151759,121.515018,平面式機車154格(含身心障礙停車位5格)。,2705-7716,計次:20元/次(隔日另計，以凌晨2時為基準)。月票:300元/月(身障者5折優惠)。,0,154,0,0,0,0,0,0
7,7,信義區,萬華國中地下停車場,臺北市信義區西藏路201號地下,25.0292477,121.49882,立體式小型車508格(含身心障礙停車位11格)。立體式機車211格(含身心障礙停車位4格)。,2307-8457,小型車計時20元 全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(19-8) 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,519,215,0,0,11,11,8,4
8,8,中山區,捷運劍南路站轉乘停車場,臺北市中山區台北市中山區北安路798號1樓、B1-B2,25.0848545,121.5556427,立體式小型車282格(含身心障礙停車位6格)。立體式機車52格(含身心障礙停車位2格)。,2246-1708,"計時：小型車平日20元/時(06-22)、10元/時(22-06)，平面場收費上限80元；假日30元/時(06-11)、40元/時(11-22)、10元/時(22-06)，無最高上限，全程以半小時計。計次：機車20元/次(隔日隔次另計，以凌晨2時為基準)。月租：小型車全日2,500元/月，機車全日300元/月。",288,54,0,0,0,6,0,0
9,9,信義區,國家生技研究園區停車場,臺北市信義區南港區研究院路1段130巷99號地下1-2層,25.0486776,121.616026,大型車0格；小型車514格；機車910格,2654-8471,"計時：小型車/大型重型機車30元/時，停車未滿30分鐘免費，第1小時以1小時計算，逾1小時以上以半小時累計。月租：全日小型車3,000元/月，大型重型機車1,000元/月，機車300元/月。計次：機車20元/次",525,910,0,0,6,7,0,0
10,10,萬華區,台灣聯通大世界停車場,臺北市萬華區成都路81號B2~B4,25.0431251,121.5052835,建物附設機械式小型車91格(含身心障礙停車位1格)。,2523-5000,"80元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計費。月租：全日8,000元",93,0,0,0,0,8,0,0
