ID(編號),Name(單位名稱),Area(行政區),Address(地址),Latitude(緯度),Longitude(經度),Remark(備註)
1,良陽國際有限公司,士林區,臺北市士林區士東路250號,25.1128919,121.5356426,檢驗站
2,駿輝機車行,士林區,臺北市士林區大南路295號,25.0887668,121.518757,檢驗站
3,捷運淡水線劍潭站,士林區,臺北市士林區中山北路5段65號,25.0842438,121.5250016,捷運站
4,永景機車材料行,士林區,臺北市士林區中山北路6段405巷79號1樓,25.1170619,121.5260607,檢驗站
5,新天母機車行,士林區,臺北市士林區中山北路6段405巷83號,25.1171862,121.5260073,檢驗站
6,福林公園地下停車場,士林區,臺北市士林區中正路17號,25.0959881,121.530776,公有停車場
7,北大機車材料行,士林區,臺北市士林區中正路411、413號,25.093658,121.5208035,檢驗站
8,巨揚機車行,士林區,臺北市士林區中正路605號,25.0865496,121.5097801,檢驗站
9,社子清潔分隊(葫蘆),士林區,臺北市士林區中正路臨707-1號(重陽橋下),25.0919088,121.5180051,清潔隊
10,好發達車業,士林區,臺北市士林區天母東路8巷99號,25.1143251,121.5303147,檢驗站
11,銘豐機車行,士林區,臺北市士林區文林路314號,25.092191,121.5262043,檢驗站
12,文昌國小地下停車場,士林區,臺北市士林區文林路615巷20號地下,25.0992248,121.5214658,公有停車場
13,富偉機車行,士林區,臺北市士林區文林路663號,25.1007335,121.5224075,檢驗站
14,瑞展機車行,士林區,臺北市士林區文林路752號,25.1031923,121.5200235,車行
15,卉茂實業有限公司,士林區,臺北市士林區文林路764號,25.103607,121.51972,檢驗站
16,新鎰昌機車行,士林區,臺北市士林區至誠路1段2-6號,25.1010597,121.5372188,檢驗站
17,金晉車業行,士林區,臺北市士林區延平北路5段111號,25.0814606,121.5103362,車行
18,台益機車有限公司,士林區,臺北市士林區延平北路5段129號,25.0820185,121.5102655,檢驗站
19,原益車業行,士林區,臺北市士林區延平北路5段14號,25.0795003,121.5113021,檢驗站
20,力泰車業有限公司,士林區,臺北市士林區延平北路5段220號,25.0840577,121.5100855,檢驗站
21,日輝車業有限公司,士林區,臺北市士林區延平北路5段41號1樓,25.0799134,121.5108202,檢驗站
22,嘉盛車業行,士林區,臺北市士林區延平北路6段139號,25.0890642,121.5077299,檢驗站
23,聖平車業行,士林區,臺北市士林區延平北路6段149號,25.0892336,121.5075453,檢驗站
24,社子國小地下停車場,士林區,臺北市士林區延平北路6段308號地下,25.0904715,121.5020712,公有停車場
25,福安里辦公室,士林區,臺北市士林區延平北路7段107巷10號,25.0966491,121.4944236,里辦公室
26,得勝機車行,士林區,臺北市士林區延平北路8段175號,25.1058434,121.4815967,車行
27,中華汽車社子服務廠,士林區,臺北市士林區延平北路六段434號,25.0922801,121.4997915,中華汽車服務廠
28,文發機車行,士林區,臺北市士林區社中街462號,25.0910935,121.5016769,車行
29,名山里貓頭鷹之家,士林區,臺北市士林區雨聲街68號,25.1036617,121.5288601,里辦公室
30,德龍車業行,士林區,臺北市士林區故宮路41巷1號,25.096635,121.547422,檢驗站
31,福元機車有限公司,士林區,臺北市士林區重慶北路4段232號,25.0863432,121.5113414,檢驗站
32,益隆車業有限公司,士林區,臺北市士林區重慶北路4段244號,25.0858362,121.510921,檢驗站
33,草山清潔分隊,士林區,臺北市士林區格致路34號,25.1370671,121.5465596,清潔隊
34,承德公園地下停車場,士林區,臺北市士林區基河路150號,25.0898396,121.5225283,公有停車場
35,進?車業行,士林區,臺北市士林區通河東街1段198號1樓,25.0865885,121.5160129,檢驗站
36,盟業車業行,士林區,臺北市士林區通河街169號,25.0814403,121.5198848,檢驗站
37,學生機車行有限公司,士林區,臺北市士林區華岡路31之3號1樓,25.1379829,121.5427704,檢驗站
38,永生車業有限公司,士林區,臺北市士林區華齡街71號,25.0847437,121.5192849,檢驗站
39,捷運淡水線芝山站,士林區,臺北市士林區福國路70號,25.1030599,121.522514,捷運站
40,正大機車行,士林區,臺北市士林區德行東路206號,25.1088852,121.532029,車行
41,誠鎰車業行,士林區,臺北市士林區德行東路23號,25.1069358,121.525865,檢驗站
42,甲翊機車行,大同區,臺北市大同區大龍街230號,25.0697324,121.5158369,車行
43,建成清潔分隊,大同區,臺北市大同區民權西路194之1號,25.0628026,121.5141461,清潔隊
44,忠億車業有限公司,大同區,臺北市大同區西寧北路17-4號,25.0525532,121.5086811,檢驗站
45,弘展機車有限公司,大同區,臺北市大同區西寧北路93號,25.0566321,121.5091453,檢驗站
46,順旺車業有限公司,大同區,臺北市大同區延平北路1段24號,25.1058398,121.477736,檢驗站
47,加祥車業有限公司,大同區,臺北市大同區延平北路2段256號,25.060364,121.51128,檢驗站
48,新協大車業有限公司,大同區,臺北市大同區延平北路3段67-1號,25.066278,121.511122,檢驗站
49,啟聰學校地下停車場,大同區,臺北市大同區延平北路4段205號,25.0744316,121.5119309,公有停車場
50,大華車業有限公司,大同區,臺北市大同區承德路1段47號,25.06945,121.518185,檢驗站
51,小緯機車行,大同區,臺北市大同區承德路2段149號,25.057998,121.51838,檢驗站
52,建成公園地下停車場,大同區,臺北市大同區承德路2段31號,25.0540267,121.5184286,公有停車場
53,長豐車業行,大同區,臺北市大同區承德路3段160號,25.068759,121.5181778,檢驗站
54,弘達車業有限公司,大同區,臺北市大同區承德路3段162號,25.0687669,121.5182034,檢驗站
55,大龍清潔分隊,大同區,臺北市大同區承德路3段303之1號(承德橋下),25.0777125,121.5188136,清潔隊
56,國真車業有限公司,大同區,臺北市大同區承德路3段312號,25.0747215,121.5197187,車行
57,瑞明機車行,大同區,臺北市大同區長安西路199號,25.051976,121.51304,檢驗站
58,建成國中地下停車場,大同區,臺北市大同區長安西路37號之一,25.0504086,121.5196574,公有停車場
59,大龍國小地下停車場,大同區,臺北市大同區哈密街47號,25.073409,121.5166925,公有停車場
60,國真機車有限公司,大同區,臺北市大同區哈密街63巷1號,25.0741838,121.5153033,檢驗站
