年底別,市府網站造訪人次[人次],市民e點通上網人次[人次],市民服務大平臺[人次],台北通累計開通數[件],臺北公眾區免費無線上網[Taipei Free]熱點數[處],臺北公眾區免費無線上網[Taipei Free]申辦帳號數[個],臺北公眾區免費無線上網[Taipei Free]使用人次[人次],市民免費上網訓練參訓累計人次[人次],市府行動應用服務APP項目數[項],市府行動應用服務APP累計下載使用人次[人次],臺北好行APP累計下載使用人次[人次],開放資料資料集項目數[項],開放資料累計使用次數[次]
87年,599330,-,-,-,-,-,-,-,-,-,-,-,-
88年,1150480,-,-,-,-,-,-,-,-,-,-,-,-
89年,2108892,-,-,-,-,-,-,-,-,-,-,-,-
90年,4192755,-,-,-,-,-,-,189123,-,-,-,-,-
91年,6511600,317386,-,-,-,-,-,244242,-,-,-,-,-
92年,6218140,579872,-,-,-,-,-,290605,-,-,-,-,-
93年,5965800,759069,-,-,-,-,-,319545,-,-,-,-,-
94年,4035440,1437740,-,-,-,-,-,335807,-,-,-,-,-
95年,5288779,1394596,-,-,-,-,-,341262,-,-,-,-,-
96年,9008706,1580817,-,347379,-,-,-,348184,-,-,-,-,-
97年,13619195,1235087,-,358207,-,-,-,355387,-,-,-,-,-
98年,15982604,1766772,-,21040,-,-,-,368836,-,-,-,-,-
99年,11000062,2171266,-,59180,-,-,-,380181,1,68646,-,-,-
100年,18245803,1821360,-,360012,1815,900364,4837771,390015,10,501288,157375,132,274778
101年,19412006,1945521,-,429373,5724,1650153,21747536,396848,30,1323444,349136,152,2409050
102年,41281612,2435486,-,535900,5893,2712967,44745450,403806,37,1981579,677488,293,19727829
103年,32282450,2803861,-,628607,5642,3252128,44730703,410316,32,2657936,951876,353,45875973
104年,16953098,3053208,-,729417,9261,3655399,38221316,416216,27,3166270,1119120,785,74499057
105年,13310187,2858427,-,910355,8312,4064758,39432526,422214,27,3578229,1228027,896,223441568
106年,25288957,2354970,-,1048675,7402,4334605,30463045,425558,24,4084861,1311557,1076,591132165
107年,6356506,1769507,-,1192243,4945,3380697,38080783,431091,16,4611260,1364852,1162,1046001878
108年,7545732,1604664,60565,1480344,3314,3465297,99947038,435689,16,5484917,1404085,1245,1470723657
109年,9468636,-,2028705,1915589,3019,3481131,121554733,438248,15,6310592,1423045,2517,2122741678
110年,6362154,-,3720585,3318319,3173,-,135943532,438634,18,9424238,1439575,2763,2859962822
111年,6919790,-,3525289,3801390,3358,-,158185094,442936,12,12493829,1456732,2990,3284111240
