Longitude(經度),Latitude(緯度),BSM_BUSSTO(公車站牌位置ID),BSM_CHINES(公車站牌名)
121.566541,25.08235,252,捷運西湖站
121.504489,25.100447,126,福美站
121.512427,25.138993,245,法藏寺
121.52864,25.133144,178,行義路一
121.5125441,25.10254138,280,建民里
121.4980051,25.1435378,343,國泰新村
121.4784148,25.13524152,319,桃源國中
121.4995994,25.12600361,366,捷運奇岩站
121.5157219,25.11491777,364,捷運石牌站(東 
121.5203874,25.0925784,574,士林區行政中 
121.541893,25.09702,729,東吳大學(錢穆 
121.5505164,25.10020446,764,故宮博物院
121.558338,25.14201,786,乾坑子
121.5847324,25.119814,880,溪山派出所
121.533402,25.148165,782,紗帽橋
121.474288,25.10606577,827,富洲里九段
121.587864,25.076894,1000,內湖國中
121.52719,25.113661,934,賴厝
121.53922,25.11433,947,職能發展學院
121.5445054,25.06403827,1198,五常街口
121.526495,25.047122,1352,華山公園(市民)
121.5355922,25.04458122,1399,懷生國宅
121.5184613,25.06395007,1435,防癆協會
121.568963,25.048356,1565,基隆路口
121.56152,25.04688,1581,復盛京華(往西)
121.5696209,25.05015413,1568,基隆路口一
121.6083518,25.0523673,1699,捷運南港站
121.5226887,25.04292453,1940,成功中學(林森)
121.538301,25.035923,2258,延平中學
121.56976,25.02324,2084,吳興街站
121.54377,25.0465,2200,復興南路（中 
121.588052,24.968307,2363,貓空纜車站
121.54638,25.041471,2325,頂好市場
121.557774,25.041997,2321,捷運國父紀念 
121.569556,24.998586,2446,捷運萬芳社區 
121.5312429,25.01812423,2742,台電大樓
121.5825779,24.98581283,2417,政大三街
121.54401,24.99976067,2533,憲光公寓
121.500584,25.035369,3911,捷運龍山寺站
121.56246,25.04731,4041,市民東寧路口
121.5031169,25.13778789,4113,新北投
121.513712,25.062346,4184,捷運大橋頭站
121.6244801,25.02497284,4722,豐台煤礦
121.6213276,25.0298317,4724,福聖宮(山水綠 
121.5919169,24.97850846,4680,指南宮(後山站)
121.6234444,25.01815211,4720,護國九天宮
121.4833146,25.1060411,5974,富安國小
121.52862,25.04682,6694,華山公園(市民 
121.537889,25.008326,6735,師大分部
121.544288,25.055328,6991,興安華城
121.5208722,25.02719477,6933,南昌家具街
121.5205194,25.02486021,6946,強恕中學
121.5272524,25.14350125,7208,惇敘工商(行義)
121.524191,25.10191662,7262,捷運芝山站(福 
121.5356021,25.14310747,14606,大埔(明玄宮)
121.5392596,25.15276818,20371,頂坪
121.557095,25.018574,20298,臥龍富陽街口
121.540701,25.17329468,50080,頂湖山
121.5637154,25.00523077,50050,世界山莊
121.528667,25.046487,50046,華山公園(市民 
121.557714,25.145048,50518,菁山一
121.57789,25.0642,50426,新湖行忠路口
121.52816,25.11569,50637,台北美國 / 日 
121.51976,25.046484,50688,行政院
121.540722,25.162613,60111,陽明書屋(正門)
121.551437,25.048248,1000022,臺視
121.5553127,25.1211925,60151,居安新村
121.562559,25.003568,1000093,萬美社區
121.5438259,24.99948956,1000232,憲光公寓
121.5442865,25.16431567,1001091,竹子湖路4-1號
121.530146,25.058796,1001089,民生東路口
121.548654,25.110508,1000620,陽明教養院
121.557681,24.999051,1000769,捷運萬芳醫院 
121.5121759,25.10552138,1000867,建民里一
121.5584949,24.99826849,1000770,臺灣警察專科 
121.558714,25.146567,1001269,菁山二
121.515467,25.137444,1001348,幽雅路35號
121.541799,25.04476899,1001121,懷生國小
121.5778251,25.08068537,424,港墘
121.5906612,25.06803087,1107,湖興
121.496807,25.135718,4,幼華高中(大業)
121.513866,25.141871,18,上北投
121.599311,25.056779,0,中國電視公司
121.496138,25.133805,6,幼華高中(大業)
121.569896,25.106839,598,大崙尾山
121.5331253,25.14268953,50060,大埔一
121.5779762,25.142288,623,內寮
121.5949014,25.10370701,152,石崁
121.5005769,25.13310028,1001332,北投分局
121.561564,25.032733,200005008,捷運台北101/世 
121.563646,25.032742,200005010,捷運台北101/世 
121.5366844,25.10120876,747,芝山岩
121.5329375,25.06351399,1253,行天宮
121.560917,24.986944,2405,木柵公園
121.531234,25.068377,4101,新生公園
121.5499436,25.02673657,59003,全安里
121.50191,25.118853,22,承德公館路口
121.5273725,25.15242561,1001319,無尾崙
121.53746,25.14758,1001792,吳厝
121.5196294,25.08306567,7253,華齡街
121.5279818,25.13059672,7214,行義路
121.505441,25.1549,380,永春橋
121.500659,25.126922,367,捷運奇岩站
121.5192445,25.10986399,375,捷運明德站(東 
121.5223512,25.11818798,412,振興醫院
