SITE_ID(Taipei-Free熱點代碼),AGENCY(機關名稱),NAME(熱點名稱),VENDOR_ID(業者),AREA(行政區),Address(地址),LATITUDE(緯度),LONGITUDE(經度)
TPEA000001,臺北市政府秘書處,臺北市政府大樓B2F北區停車場司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.038475,121.564314
TPEA000002,臺北市政府秘書處,臺北市政府大樓B2F東北區,中華電信,信義區,110臺北市信義區市府路1號,25.037819,121.564812
TPEA000003,臺北市政府秘書處,臺北市政府大樓B2F市府生活廣場,中華電信,信義區,110臺北市信義區市府路1號,25.037654,121.564547
TPEA000004,臺北市政府秘書處,臺北市政府大樓B2F便利商店,中華電信,信義區,110臺北市信義區市府路1號,25.03753,121.564316
TPEA000005,臺北市政府秘書處,臺北市政府大樓B2F郵局,中華電信,信義區,110臺北市信義區市府路1號,25.037825,121.564147
TPEA000006,臺北市政府秘書處,臺北市政府大樓B2F西南區,中華電信,信義區,110臺北市信義區市府路1號,25.037186,121.564074
TPEA000007,臺北市政府工務局,臺北市政府大樓B2F南區停車場司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.036578,121.564243
TPEA000008,臺北市政府秘書處,臺北市政府大樓B1F北區停車場西北側司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.038516,121.564128
TPEA000009,臺北市政府秘書處,臺北市政府大樓B1F北區停車場中央司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.038311,121.564635
TPEA000010,臺北市政府秘書處,臺北市政府大樓B1F北區停車場東北側司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.038449,121.564993
TPEA000012,臺北市政府秘書處,臺北市政府大樓B1F公管中心,中華電信,信義區,110臺北市信義區市府路1號,25.037646,121.564113
TPEA000013,臺北市政府秘書處,臺北市政府大樓B1F餐廳北側,中華電信,信義區,110臺北市信義區市府路1號,25.037656,121.564849
TPEA000014,臺北市政府秘書處,臺北市政府大樓B1F餐廳中央,中華電信,信義區,110臺北市信義區市府路1號,25.037536,121.564853
TPEA000015,臺北市政府秘書處,臺北市政府大樓B1F餐廳南側,中華電信,信義區,110臺北市信義區市府路1號,25.0374,121.564847
TPEA000016,臺北市政府警察局,臺北市政府大樓B1F駐警隊,中華電信,信義區,110臺北市信義區市府路1號,25.037491,121.5642
TPEA000017,臺北市政府秘書處,臺北市政府大樓B1F餐廳門口,中華電信,信義區,110臺北市信義區市府路1號,25.037383,121.564495
TPEA000018,臺北市政府財政局,臺北市政府大樓B1F公庫處,中華電信,信義區,110臺北市信義區市府路1號,25.037161,121.564335
TPEA000019,臺北市政府秘書處,臺北市政府大樓B1F南區停車場西南側司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.036649,121.563996
TPEA000020,臺北市政府秘書處,臺北市政府大樓B1F南區停車場中央司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.036821,121.564607
TPEA000021,臺北市政府秘書處,臺北市政府大樓B1F南區停車場東南側司機休息室,中華電信,信義區,110臺北市信義區市府路1號,25.036554,121.56502
TPEA000022,臺北市政府秘書處,臺北市政府大樓1F北大門,中華電信,信義區,110臺北市信義區市府路1號,25.03847,121.564382
TPEA000023,臺北市政府產業發展局,臺北市政府大樓1F北區東側辦公室北方,中華電信,信義區,110臺北市信義區市府路1號,25.038371,121.564521
TPEA000024,臺北市政府產業發展局,臺北市政府大樓1F北區東側辦公室南方,中華電信,信義區,110臺北市信義區市府路1號,25.038073,121.564531
TPEA000025,臺北市政府社會局,臺北市政府大樓1F東北區東側,中華電信,信義區,110臺北市信義區市府路1號,25.037824,121.564987
TPEA000026,臺北市政府社會局,臺北市政府大樓1F東北區西側,中華電信,信義區,110臺北市信義區市府路1號,25.03783,121.56478
TPEA000027,臺北市政府財政局,臺北市政府大樓1F西北區,中華電信,信義區,110臺北市信義區市府路1號,25.037847,121.564147
TPEA000028,臺北市政府產業發展局,臺北市政府大樓1F北區西側辦公室東北方,中華電信,信義區,110臺北市信義區市府路1號,25.038378,121.56416
TPEA000029,臺北市政府產業發展局,臺北市政府大樓1F北區通道公用電話亭,中華電信,信義區,110臺北市信義區市府路1號,25.038069,121.564266
TPEA000030,臺北市政府產業發展局,臺北市政府大樓1F北區西側辦公室西南方,中華電信,信義區,110臺北市信義區市府路1號,25.038084,121.564074
TPEA000031,臺北市政府秘書處,臺北市政府大樓1F東區,中華電信,信義區,110臺北市信義區市府路1號,25.037534,121.56482
TPEA000032,臺北市政府秘書處,臺北市政府大樓1F東大門,中華電信,信義區,110臺北市信義區市府路1號,25.037527,121.565093
TPEA000033,臺北市政府秘書處,臺北市政府大樓1F南大門,中華電信,信義區,110臺北市信義區市府路1號,25.036571,121.564508
TPEA000034,臺北市政府都市發展局,臺北市政府大樓1F南區東側辦公室東南方,中華電信,信義區,110臺北市信義區市府路1號,25.036668,121.564511
TPEA000035,臺北市政府都市發展局,臺北市政府大樓1F南區東側辦公室北側門口,中華電信,信義區,110臺北市信義區市府路1號,25.036932,121.564525
TPEA000036,臺北市政府衛生局,臺北市政府大樓1F東南區東側,中華電信,信義區,110臺北市信義區市府路1號,25.037176,121.564979
TPEA000037,臺北市政府衛生局,臺北市政府大樓1F東南區西側,中華電信,信義區,110臺北市信義區市府路1號,25.037171,121.564751
TPEA000038,臺北市政府秘書處,臺北市政府大樓1F西南區提款機前,中華電信,信義區,110臺北市信義區市府路1號,25.03721,121.564247
TPEA000039,臺北市政府都市發展局,臺北市政府大樓1F南區西側辦公室東南方,中華電信,信義區,110臺北市信義區市府路1號,25.036722,121.564144
TPEA000040,臺北市政府都市發展局,臺北市政府大樓1F南區西側辦公室北側門外,中華電信,信義區,110臺北市信義區市府路1號,25.037083,121.564296
