ID(編號),NightMarket_Nmae(夜市名稱),Store_Nmae(店家名稱),Address(地址),OpenTime(開放時間),CloseTime(關閉時間),Holiday(休假日)
1,寧夏夜市,鬍鬚張美食文化館,臺北市大同區寧夏路62號,10:00,01:30,無
2,寧夏夜市,寧夏夜市觀光協會,臺北市大同區寧夏路58號2樓,17:00,22:30,不定時
3,寧夏夜市,統一超商(7-11):鑫寧門市,臺北市大同區民生西路214號,00:00,23:59,無
4,寧夏夜市,雙連市場,臺北市大同區民生西路198號,00:00,23:59,無
5,延三夜市,延三海鮮炭烤,臺北市大同區延平北路三段32之2號,18:00,23:59,不定時
6,延三夜市,延三新營人沙茶牛肉,臺北市大同區延平北路三段80號,18:00,23:59,星期一
7,延三夜市,三重知高飯,臺北市大同區延平北路三段29號,10:30,21:00,每月二、四週星期五
8,大龍夜市,台南擔仔麵,台北市大龍街312號,18:00,23:00,星期一
9,饒河街夜市,丸咖圓舞曲,臺北市松山區饒河街112號2樓,11:00,23:30,無
10,饒河街夜市,夾后娃娃屋,臺北市松山區饒河街51號,17:00,02:00,無
11,饒河街夜市,統一超商(7-11):松禾門市,臺北市松山區塔悠路31號,00:00,23:59,無
12,華西街夜市,華西街商圈區協會,臺北市萬華區華西街28之3號2樓,12:00,23:59,無
13,梧州街夜市,梧州街臨時攤販集中場自治會,臺北市萬華區華西街40巷3號,16:00,23:59,無
14,廣州街夜市,廣州街攤販臨時集中場自治會,臺北市萬華區廣州街253巷25號1樓,17:00,23:59,無
15,廣州街夜市,艋舺牛排館,臺北市萬華區廣州街220號1樓,16:00,23:59,無
16,西昌街夜市,一定旺彩券行,臺北市萬華區廣州街138號,09:00,22:00,無
17,西昌街夜市,龍山寺地下街,臺北市萬華區西園路一段145號B1,11:00,21:30,無
18,南機場夜市,臭老闆臭豆腐店,臺北市中正區中華路二段309巷46號,17:00,23:00,星期四
19,南機場夜市,口?品麻辣臭豆腐(南機場店),臺北市中正區中華路二段309巷22號,17:00,01:00,無
20,南機場夜市,汪派沙茶羊肉,臺北市中正區中華路二段311巷18號,16:30,23:59,無
21,南機場夜市,南機場臨時攤販集中場,臺北市中正區中華路二段313巷30號,00:00,23:59,無
22,公館夜市,水源市場,臺北市中正區羅斯福路四段92號,07:00,20:00,星期一
23,雙城街夜市,晴光臨時攤販集中場自治會,晴光市場內：臺北市中山區農安街2巷5弄底臺北市中山區中山北路三段17號內,00:00,23:59,無
24,雙城街夜市,果實咖啡堂,臺北市中山區雙城街17巷7號,12:00,23:00,無
25,雙城街夜市,豐味亭小吃店,臺北市中山區雙城街3巷2號,11:30,20:30,星期二
26,雙城街夜市,統一超商(7-11):新晴光門市,臺北山市中山區雙城街30號,00:00,23:59,無
27,雙城街夜市,晴光臨時攤販集中場,臺北市中山區雙城街12巷6號旁,09:00,20:00,無
29,民族東路 410巷,第二果菜批發市場,臺北市中山區民族東路336號,04:00,12:00,星期一
30,民族東路 411巷,民族魚市場,臺北市中山區民族東路410巷2弄20號,08:00,23:00,無
31,臨江街夜市,久祥鞋店,臺北市大安區臨江街102之2號,17:00,23:59,無
32,臨江街夜市,七二商行,臺北市大安區臨江街72號,07:00,01:00,無
33,景美夜市,台灣吉野家股份有限公司景美分公司,臺北市文山區景文街99號,00:00,23:59,無
34,士林夜市,摩曼頓企業股份有限公司,臺北市士林區基河路130號2樓,14:00,23:59,無
35,士林夜市,瑞成棉被店,臺北市士林區大東路45號,11:00,23:30,不定時
36,士林夜市,統一超商(7-11):文林門市,臺北市士林區大北路14號,00:00,23:59,無
37,士林夜市,統一超商(7-11):承河門市,臺北市士林區基河路132號,00:00,23:59,無
38,士林夜市,臺北市農會陽明堆集場,臺北市士林區大東路15號,00:00,23:59,無
39,士林夜市,士林市場,臺北市士林區基河路101號,00:00,23:59,無
40,福華廣場,福華廣場攤販集中場,臺北市士林區通河街323之1號,07:00,14:00,星期一
41,石牌商城,大嘴巴牛排,臺北市北投區裕民一路18號,11:30,23:00,無
42,麗山,麗山臨時攤販集中場,臺北市內湖區內湖路一段737巷50弄6號,00:00,23:59,無
43,慈聖宮廣場,台北市大稻埕慈聖商圈協會,臺北市大同區保安街49巷32號後方,00:00,23:59,無
