序號,機構名稱,地址,電話
1,臺北市松山老人服務暨日間照顧中心,臺北市松山區健康路317號1樓,(02)27685636
2,臺北市大同社區大學,臺北市大同區長安西路37-1號,(02)25556008
3,臺北市松山社區大學,臺北市松山區八德路四段101號,(02)27477690
4,臺北市中山老人住宅暨服務中心,臺北市中山區新生北路二段101巷2號1-6樓,(02)25420006
5,臺北市中山社區大學,臺北市中山區新生北路三段55號,(02)25973371
6,委託經營管理臺北市北投奇岩樂活大樓(北投老人服務中心),臺北市北投區奇岩里三合街一段119號,(02)28930572
7,臺北市大同老人服務暨日間照顧中心,臺北市大同區重慶里重慶北路三段347號3樓,(02)25929808
8,國立臺灣戲曲學院,臺北市內湖區內湖路二段177號,(02)27962666
9,臺北市內湖社區大學,臺北市內湖區文德路240號3樓,(02)87511587
10,臺北市士林老人服務暨日間照顧中心,臺北市士林區忠誠路二段53巷7號5樓及6樓,(02)28381571
11,臺北市士林社區大學,臺北市士林區承德路四段177號（百齡高中）,(02)28806580
12,臺北市文山社區大學,臺北市文山區景中街27號,(02)29302627
13,臺北市萬華龍山老人服務暨日間照顧中心,臺北市萬華區梧州街36號2樓、2樓之2、3樓、3樓之1,(02)23361880
14,淡江大學進修推廣處,臺北市大安區金華街199巷5號,(02)23216320
15,臺北醫學大學進修推廣處,臺北市大安區基隆路二段172-1號13樓,(02)66382736
16,臺北市政府社會局委託經營管理臺北市萬華老人服務中心,臺北市萬華區西寧南路4號A棟3樓,(02)23610666
17,臺北市政府社會局委託經營管理臺北市大安老人服務暨日間照顧中心(小規模多機能),臺北市大安區四維路76巷12號1-5樓,(02)27086255
18,臺北市信義老人服務暨日間照顧中心,臺北市信義區興雅里松隆路36號4、5樓,(02)87870300
19,臺北市中正社區大學,臺北市中正區濟南路一段6號,(02)23278441
20,臺北市立大學,臺北市中正區愛國西路1號,(02)23113040
21,臺北市大安社區大學,臺北市大安區杭州南路二段1號(金甌女中),(02)23915081
22,臺北市信義社區大學,臺北市信義區松仁路158巷1號,(02)87897316
23,臺北市萬華社區大學,臺北市萬華區南寧路46號,(02)23064267
