ID(序號),OrgName(機構名稱),ActivityName(活動名稱),Area(行政區),Address(活動地址),Latitude(緯度),Longitude(經度),Cate(類型),Peoples(可容納人數),Week(開課星期)
1,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),每周三共餐,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,午餐,22,星期三
2,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),(一)歡唱卡拉OK,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,音樂,28,星期一
3,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),(二)歌曲搖擺日,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,社交聯誼,28,星期二
4,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),(三)書報閱覽,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,其他,28,星期三
5,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),(四)歡樂桌遊日,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,其他,28,星期四
6,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),樂齡運動站,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,運動,20,星期二
7,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),樂齡運動站,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,運動,20,星期三
8,中山老人住宅暨服務中心(財團法人台灣省私立健順養護中心),樂齡運動站,中山區,臺北市中山區新生北路2段101巷2號,25.0572655,121.5284276,運動,20,星期五
9,中華民國天使之家全人關懷協會,預防及延緩失能-1身體加能 CL-01-0298,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,運動,20,星期一
10,中華民國天使之家全人關懷協會,樂齡打擊樂器班,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,音樂,30,星期二
11,中華民國天使之家全人關懷協會,益智桌遊.卡拉OK,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,其他,20,星期二
12,中華民國天使之家全人關懷協會,健康飲食講座及實作,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,膳食烘焙,25,星期三
13,中華民國天使之家全人關懷協會,日語班,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,語文,20,星期三
14,中華民國天使之家全人關懷協會,長者身心活化運動,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,運動,25,星期四
15,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,35,星期一
16,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,35,星期二
17,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,35,星期三
18,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,35,星期四
19,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,35,星期五
20,中華民國天使之家全人關懷協會,多元藝術創作班,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,藝術,20,星期四
21,中華民國天使之家全人關懷協會,認知健康促進,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,其他,25,星期五
22,中華民國天使之家全人關懷協會,長青幸福讀書會,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,其他,20,星期五
23,中華民國天使之家全人關懷協會,樂齡美聲合唱團,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,音樂,20,星期日
24,中華民國天使之家全人關懷協會,長青幸福讀書會,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,語文,20,星期五
25,中華民國天使之家全人關懷協會,認知健康促進,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,其他,20,星期六
26,中華民國天使之家全人關懷協會,長青幸福讀書會,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,生活知識,20,星期六
27,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,30,星期六
28,中華民國天使之家全人關懷協會,社區復健、體適能,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,運動,20,星期一
29,中華民國天使之家全人關懷協會,認知促進補-0127,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,其他,30,星期六
30,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,30,星期六
31,中華民國天使之家全人關懷協會,長青幸福讀書會,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,語文,20,星期六
32,中華民國天使之家全人關懷協會,預防及延緩失能,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,運動,20,星期六
33,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,30,星期六
34,中華民國天使之家全人關懷協會,3D列印應用,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,科技資訊,30,星期一
35,中華民國天使之家全人關懷協會,環保藝術創作,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,藝術,30,星期四
36,中華民國天使之家全人關懷協會,體適能運動,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,運動,25,星期六
37,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,25,星期日
38,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,25,星期六
39,中華民國天使之家全人關懷協會,認知促進活動-補課,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,社交聯誼,35,星期六
40,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,35,星期六
41,中華民國天使之家全人關懷協會,加值方案-田園城市,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,園藝,20,星期一
42,中華民國天使之家全人關懷協會,共餐,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,午餐,40,星期六
43,中華民國天使之家全人關懷協會,長者樂活班-益智桌遊.卡拉ok,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,社交聯誼,25,星期二
44,中華民國天使之家全人關懷協會,益智桌遊.卡拉OK,內湖區,臺北市內湖區成功路2段242號1樓,25.065888,121.5900616,社交聯誼,25,星期二
45,中華民國老人福利協進會,周一:健康促進與活力球運動  (1月-3月),信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,運動,25,星期一
46,中華民國老人福利協進會,周二上午:國臺語歌唱班,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,音樂,25,星期二
47,中華民國老人福利協進會,周二中午:共餐,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,午餐,25,星期二
48,中華民國老人福利協進會,周二下午:寶島名勝生活故事分享,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,生活知識,25,星期二
49,中華民國老人福利協進會,周三:快樂歌唱班,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,音樂,25,星期三
50,中華民國老人福利協進會,周四:運動飲食涷齡,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,生活知識,25,星期四
51,中華民國老人福利協進會,周四中午:共餐,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,午餐,25,星期四
52,中華民國老人福利協進會,周四下午:實用手機教學,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,科技資訊,25,星期四
53,中華民國老人福利協進會,周五:烏克麗麗輕鬆學,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,表演藝術,25,星期五
54,中華民國老人福利協進會,周五:烏克麗麗輕鬆學,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,音樂,25,星期六
55,中華民國老人福利協進會,周六:健康促進與活力球運動,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,運動,25,星期六
56,中華民國老人福利協進會,周六:健康促進與活力球運動(3月25日),信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,運動,20,星期六
57,中華民國老人福利協進會,周一:預防及延緩失能(4月-6月),信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,醫藥保健,25,星期一
58,中華民國老人福利協進會,周一:失智友善天使講習 (7月),信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,醫藥保健,25,星期一
59,中華民國老人福利協進會,周一:預防及延緩失能(8月-10月),信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,醫藥保健,25,星期一
60,中華民國老人福利協進會,周一:健康促進與活力球運動(10月-12月),信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,運動,25,星期一
61,中華民國老人福利協進會,周五:烏克麗麗輕鬆學,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,表演藝術,20,星期六
62,中華民國老人福利協進會,預防及延緩失能,信義區,臺北市信義區信安街78-80號2樓(連棟),25.0260907,121.5571725,運動,20,星期五
63,中華民國紅十字會,益智桌遊,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,社交聯誼,20,星期一
64,中華民國紅十字會,銀氧運動,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,運動,50,星期一
65,中華民國紅十字會,園藝活動,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,其他,20,星期一
66,中華民國紅十字會,園藝活動,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,其他,20,星期四
67,中華民國紅十字會,編織趣,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,藝術,30,星期二
68,中華民國紅十字會,銀翼教唱,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,音樂,50,星期二
69,中華民國紅十字會,太極氣功十八式,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,醫藥保健,30,星期三
70,中華民國紅十字會,預防及延緩失能課程-肌肉強化與心理減壓,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,運動,30,星期三
71,中華民國紅十字會,共餐,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,午餐,20,星期一
72,中華民國紅十字會,共餐,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,午餐,20,星期二
73,中華民國紅十字會,共餐,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,午餐,20,星期四
74,中華民國紅十字會,長輩出頭天,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,其他,20,星期三
75,中華民國紅十字會,銀氧運動2班,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,運動,30,星期四
76,中華民國紅十字會,樂齡綜合課程,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,藝術,50,星期四
77,中華民國紅十字會,預防及延緩失能課程-肌肉強化與心理減壓,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,運動,30,星期四
78,中華民國紅十字會,編織趣,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,藝術,30,星期二
79,中華民國紅十字會,樂齡綜合課程,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,科技資訊,30,星期二
80,中華民國紅十字會,長輩出頭天,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,其他,15,星期三
81,中華民國紅十字會,加值方案-愛的練習曲-人生桌遊,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,其他,20,星期三
82,中華民國紅十字會,長輩出頭天,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,其他,20,星期二
83,中華民國紅十字會,銀翼教唱,萬華區,臺北市萬華區艋舺大道303號1、4樓,25.0332841,121.4960032,音樂,50,星期四
84,中華民國紅十字會台灣省分會（新生）,樂齡體適能,大安區,臺北市大安區龍坡里新生南路3段20號4樓,25.0242923,121.534441,運動,20,星期一
85,中華民國紅十字會台灣省分會（新生）,靈活動大腦,大安區,臺北市大安區龍坡里新生南路3段20號4樓,25.0242923,121.534441,醫藥保健,20,星期二
86,中華民國紅十字會台灣省分會（新生）,銀髮紓壓養生教室,大安區,臺北市大安區龍坡里新生南路3段20號4樓,25.0242923,121.534441,其他,25,星期二
87,中華民國紅十字會台灣省分會（新生）,菲躍樂齡活力方案實證應用方案（一～三期）,大安區,臺北市大安區龍坡里新生南路3段20號4樓,25.0242923,121.534441,運動,25,星期四
88,中華民國紅十字會台灣省分會（新生）,預防失智健康教室,大安區,臺北市大安區龍坡里新生南路3段20號4樓,25.0242923,121.534441,醫藥保健,20,星期四
89,中華民國紅十字會台灣省分會（新生）,預防失智健康教室,大安區,臺北市大安區龍坡里新生南路3段20號4樓,25.0242923,121.534441,醫藥保健,20,星期二
90,中華民國紅十字會台灣省分會（新生）,舒緩疼痛保健班,大安區,臺北市大安區龍坡里新生南路3段20號4樓,25.0242923,121.534441,生活知識,20,星期五
