ID(序號),Year(年/季),Area(行政區),Total(總人數),Male(男生人數), Female(女生人數)
1,106年第1季, 松山區,269,107,162
2,106年第1季, 信義區,294,144,150
3,106年第1季, 大安區,500,209,291
4,106年第1季, 中山區,410,222,188
5,106年第1季, 中正區,340,175,165
6,106年第1季, 大同區,242,156,86
7,106年第1季, 萬華區,1031,715,316
8,106年第1季, 文山區,410,196,214
9,106年第1季, 南港區,182,88,94
10,106年第1季, 內湖區,131,61,70
11,106年第1季, 士林區,350,186,164
12,106年第1季, 北投區,237,120,117
13,106年第2季, 松山區,280,105,175
14,106年第2季, 信義區,382,187,195
15,106年第2季, 大安區,547,229,318
16,106年第2季, 中山區,463,252,211
17,106年第2季, 中正區,369,195,174
18,106年第2季, 大同區,250,163,87
19,106年第2季, 萬華區,1086,738,348
20,106年第2季, 文山區,469,222,247
21,106年第2季, 南港區,201,91,110
22,106年第2季, 內湖區,149,67,82
23,106年第2季, 士林區,375,197,178
24,106年第2季, 北投區,249,128,121
25,106年第3季, 松山區,282,103,179
26,106年第3季, 信義區,274,141,133
27,106年第3季, 大安區,565,233,332
28,106年第3季, 中山區,482,257,225
29,106年第3季, 中正區,363,192,171
30,106年第3季, 大同區,260,171,89
31,106年第3季, 萬華區,1095,731,364
32,106年第3季, 文山區,431,206,225
33,106年第3季, 南港區,191,89,102
34,106年第3季, 內湖區,156,72,84
35,106年第3季, 士林區,384,199,185
36,106年第3季, 北投區,241,125,116
37,106年第4季, 松山區,278,96,182
38,106年第4季, 信義區,293,141,152
39,106年第4季, 大安區,581,241,340
40,106年第4季, 中山區,483,252,231
41,106年第4季, 中正區,359,186,173
42,106年第4季, 大同區,267,173,94
43,106年第4季, 萬華區,1080,718,362
44,106年第4季, 文山區,438,200,238
45,106年第4季, 南港區,197,88,109
46,106年第4季, 內湖區,156,74,82
47,106年第4季, 士林區,378,198,180
48,106年第4季, 北投區,234,120,114
49,107年第1季, 松山區,292,102,190
50,107年第1季, 信義區,307,147,160
51,107年第1季, 大安區,582,225,357
52,107年第1季, 中山區,473,238,235
53,107年第1季, 中正區,357,186,171
54,107年第1季, 大同區,243,159,84
55,107年第1季, 萬華區,995,656,339
56,107年第1季, 文山區,438,196,242
57,107年第1季, 南港區,200,93,107
58,107年第1季, 內湖區,170,80,90
59,107年第1季, 士林區,385,198,187
60,107年第1季, 北投區,231,121,110
61,107年第2季, 松山區,251,101,150
62,107年第2季, 信義區,318,145,173
63,107年第2季, 大安區,593,234,359
64,107年第2季, 中山區,477,232,245
65,107年第2季, 中正區,357,183,174
66,107年第2季, 大同區,256,164,92
67,107年第2季, 萬華區,1093,720,373
68,107年第2季, 文山區,438,191,247
69,107年第2季, 南港區,206,97,109
70,107年第2季, 內湖區,178,83,95
71,107年第2季, 士林區,387,196,191
72,107年第2季, 北投區,241,119,122
73,107年第3季, 松山區,319,116,203
74,107年第3季, 信義區,336,152,184
75,107年第3季, 大安區,623,242,381
76,107年第3季, 中山區,494,237,257
77,107年第3季, 中正區,381,191,190
78,107年第3季, 大同區,266,169,97
79,107年第3季, 萬華區,1088,719,369
80,107年第3季, 文山區,459,197,262
81,107年第3季, 南港區,203,97,106
82,107年第3季, 內湖區,177,80,97
83,107年第3季, 士林區,394,199,195
84,107年第3季, 北投區,253,125,128
85,107年第4季, 松山區,339,117,222
86,107年第4季, 信義區,331,146,185
87,107年第4季, 大安區,626,244,382
88,107年第4季, 中山區,500,240,260
89,107年第4季, 中正區,385,192,193
90,107年第4季, 大同區,275,175,100
91,107年第4季, 萬華區,1125,739,386
92,107年第4季, 文山區,485,206,279
93,107年第4季, 南港區,206,96,110
94,107年第4季, 內湖區,186,82,104
95,107年第4季, 士林區,413,202,211
96,107年第4季, 北投區,262,129,133
97,108年第1季, 松山區,350,123,227
98,108年第1季, 信義區,337,148,189
99,108年第1季, 大安區,629,241,388
100,108年第1季, 中山區,511,237,274
101,108年第1季, 中正區,386,195,191
102,108年第1季, 大同區,294,189,105
103,108年第1季, 萬華區,1130,732,398
104,108年第1季, 文山區,504,212,292
105,108年第1季, 南港區,211,95,116
106,108年第1季, 內湖區,178,78,100
107,108年第1季, 士林區,435,212,223
108,108年第1季, 北投區,260,127,133
109,108年第2季, 松山區,339,120,219
110,108年第2季, 信義區,333,138,195
111,108年第2季, 大安區,644,242,402
112,108年第2季, 中山區,528,245,283
113,108年第2季, 中正區,393,192,201
114,108年第2季, 大同區,313,205,108
115,108年第2季, 萬華區,1123,725,398
116,108年第2季, 文山區,508,211,297
117,108年第2季, 南港區,215,97,118
118,108年第2季, 內湖區,190,85,105
119,108年第2季, 士林區,448,214,234
120,108年第2季, 北投區,265,131,134
121,108年第3季, 松山區,364,129,235
122,108年第3季, 信義區,344,138,206
123,108年第3季, 大安區,669,251,418
124,108年第3季, 中山區,526,241,285
125,108年第3季, 中正區,391,188,203
126,108年第3季, 大同區,319,206,113
127,108年第3季, 萬華區,1150,742,408
128,108年第3季, 文山區,510,206,304
129,108年第3季, 南港區,225,99,126
130,108年第3季, 內湖區,200,88,112
131,108年第3季, 士林區,452,221,231
132,108年第3季, 北投區,275,135,140
133,108年第4季, 松山區,370,136,234
134,108年第4季, 信義區,356,140,216
135,108年第4季, 大安區,681,252,429
136,108年第4季, 中山區,537,243,294
137,108年第4季, 中正區,405,196,209
138,108年第4季, 大同區,326,211,115
139,108年第4季, 萬華區,1151,746,405
140,108年第4季, 文山區,508,209,299
141,108年第4季, 南港區,216,93,123
142,108年第4季, 內湖區,219,95,124
143,108年第4季, 士林區,462,224,238
144,108年第4季, 北投區,276,136,140
145,109年第1季, 松山區,387,143,244
146,109年第1季, 信義區,344,134,210
147,109年第1季, 大安區,707,260,447
148,109年第1季, 中山區,536,237,299
149,109年第1季, 中正區,408,192,216
150,109年第1季, 大同區,337,219,118
151,109年第1季, 萬華區,1161,739,422
