112年異動情形,編號,行政區,步道名稱,健走步道地點,健走公里數,環境特色,地址,開放時間,停車場,交通方式
更新簡介,1,63000030,大安森林公園－都市中的綠色精靈,大安森林公園,約2.1公里,大安森林公園是清新的「都市之肺」，26公頃純休閒性「都市森林」型態的公園，喬木蒼翠濃密，灌木層次井然，花壇密植草花、觀葉植物，可以滌塵淨化空氣、降低噪音、調節氣溫，來園運動休憩，有花看並可以欣賞音樂台演出，享受「森林浴」舒暢身心。另外大安森林公園不僅生態豐富（紀錄有鳥類49種、爬蟲類5種、兩棲類4種等），亦是北市螢火蟲重要的復育種源區，已漸漸可於季節期見到螢火蟲蹤跡。大安森林公園地處臺北市大安區，交通便利，是市民從事健走運動的最佳場所。,臺北市大安區，東為建國南路，西為新生南路二段，北為信義路三段，南為和平東路二段。,235959,Y,"捷運：淡水信義線至「大安森林公園」站下車。
公車：0東、0南、3、15、18、20、22、38、72、74、204、211、226、235、237、254、278、280、290、311、505、642、662、663、295、672、675，於「大安森林公園」站下車。"
更新簡介,2,63000030,臥龍綠廊步道,臥龍街,約1.2公里,臥龍綠廊步道連結麟光捷運站，沿線有富陽自然生態公園及福州山公園，止於臥龍學園。富陽自然生態公園為臺北市區內難得一見的低海拔森林及溪流等自然資源，為臺北市第一座以生態保育與教育功能為主的自然公園，園內植物物種總計達331種，並可見保育類特有動物，如「臺北樹蛙」及「長吻白蠟蟬」等。,臺北市大安區，麟光捷運站（起點）→臥龍街→臥龍學園（臥龍街基隆路口，大安國小、芳和國中、和平高中）,235959,N,"捷運：文湖線至「麟光站」下車。
公車：15、18、72、211、282、285、292、292副、556、680、685、902、1503、和平幹線、市民小巴7，於「麟光站」下車。"
更新簡介,3,63000110,芝山岩健走步道,臺北市芝山岩健走步道,約1.454公里,芝山岩位於臺北市士林區聯合醫院陽明院區前方（隔雨聲街），在日據時期曾發現史前遺址，目前芝山岩遺址已列為國家一級古蹟。木棧道架設完善、採迂迴繞行上山，寬闊而平緩，輪椅也可直接推著上山，因棧道材質柔軟而有彈性，無論男女老少都可舒適行走其上，毫不費力走到目的地。,臺北市士林區雨聲街105號旁芝山公園,235959,N,"捷運：淡水信義線至「芝山站」下車後，即可搭乘接駁車。或直行至中山北路六段左轉後，右轉忠誠路一段，直行至第二個路口，右轉忠義街看到雨農國小，再步行約5分鐘即可到達陽明院區，總步行時間約15分鐘。 
公車：（1）雨農國小站: 285、646、紅12 、606、279、203（2）陽明醫院站: 紅15、645 、685。"
更新簡介,4,63000110,台北市磺溪彩虹健康步道,天母西路段（磺溪橋）至文林北路段（石牌橋）,約4.313公里,在原有社區聚落架構與豐富的綠帶公園群中，早已擁有幅員廣闊的運動、休閒、遊憩相關設施，以及為數不少散落各角落的開闊綠地。,臺北市士林區中山北路6段374號對面對面河堤,235959,N,捷運：淡水信義線至「芝山站」或「明德站」下車，再步行約10分鐘即可到達。
更新簡介,5,63000110,漫步青雲平步青雲（上班族步道捷運步道）,捷運劍潭站至士林區行政中心,約2.112公里                                    約1.442公里            ,設置劍潭與士林捷運站之健走步道，讓上班族將健走融入生活，值得推薦給上班族作為下班後的健走場地。,臺北市士林區基河路至中正路,235959,Y,捷運：淡水信義線至「劍潭站」或「士林站」下車。
更新簡介,6,63000110,天母運動公園－親子同樂的運動公園,天母運動公園,"約1,750公尺",天母運動公園面積廣大，約佔16.8公頃，除外圍人行道外，亦可以在公園內操場的跑道健走，特別的是跑道上還特地用白線規劃了人行步道區和自行車道區，提供健走的人和騎單車的人各自的舒適空間。,臺北市士林區忠誠路2段77號,235959,Y,公車：206、220、267、279、285、606、646，於「天母棒球場」站下車。
更新簡介,7,63000060,浪漫踩線體驗步道（捷運北門站-霞海城隍廟-林柳新紀念偶戲博物館-大稻埕碼頭）,捷運北門站,約1公里,徜徉在迪化老街中，依循各種古蹟人文思古幽情時，也走入全國最重要南北貨集散地之一，見證另類的經濟奇蹟。,臺北市大同區塔城街10號,235959,N,"捷運：松山新店線至「北門站」，於2號出口，往塔城街步行至大稻埕碼頭，約20～25分鐘抵達。
公車：行經北門站周邊之公車路線包括797、藍29、9、250、304、622、12、302、304、660、9102、1504、641、704、785、798、893、660、756、797、892、42、260 等。"
更新簡介,8,63000060,歷史人文踏查步道（捷運圓山站-孔廟-保安宮-大龍峒-迪化運動公園）,捷運圓山站,約1.32公里,大龍峒一帶號稱「十步一舉，五步一秀」，走過孔廟、保安宮、哈密老街等名勝到迪化休閒公園後，也別忘享受夕陽隱沒淡水河的美景,臺北市大同區酒泉街9之1號,235959,N,"捷運：信義淡水線至「圓山站」2號出口。
公車：經圓山捷運站周邊之公車路線包括 21、21、208、208基河、247、553、287、677、紅2、紅33、紅34等。"
更新簡介,9,63000060,淡水河邊美景飽覽步道（大稻埕碼頭--國順疏散門/迪化公園天橋）,臺北市大稻埕,約1.33公里,河濱沿線步道規劃完整，風光明媚，白天有河岸風光，黃昏有夕陽西下，夜晚有城市光景，美不勝收。,臺北市大同區民生西路底（5號水門）,235959,N,"捷運：松山新店線至「北門站」，於3號出口，往塔城街步行至大稻埕碼頭，約15～20分鐘抵達。
公車：行經北門站周邊之公車路線包括797、藍29、9、250、304、622、12、302、304、660、9102、1504、641、704、785、798、893、660、756、797、892、42、260 等。"
更新簡介,10,63000040,運動買菜健康 Goal、購、Go (買菜步道),"捷運中山國中站（起點）→復興北路→龍江路345巷
→龍江路→民族東路→第二果菜市場",約1.3公里,臺北市中山區運動買菜健走步道經過五常國中與五常國小，經由較寬闊的龍江路讓目標只有到第二果菜市場的媽媽能舒服地走在人行道上。,臺北市中山區復興北路376號→民族東路336號,235959,N,"捷運：文湖線至「中山國中站」下車。
公車：【63-內湖舊宗路】 【286副-福德街】【643-錦繡山莊】【225-民生社區】【74-景美】【542-捷運圓山站】【685-麟光新村】 【棕1-松山車站】【680-麟光站】【2000-臺北長庚】【5116-松山機場】。"
