ID(序號),Area(行政區),路名,位置,Address(地址),Longitude(經度),Latitude(緯度),Remark(備註),,,,,,,
1,松山區,南京東路,4段與敦化北路口(箱編:3019),臺北市松山區南京東路4段與敦化北路口(箱編:3019),121.549319,25.052197,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.549319, 25.052197]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區南京東路4段與敦化北路口(箱編:3019)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.549319, 25.052197, 121.549319, 25.052197]
		},",士林區,64
2,松山區,民生東路,5段180號前(箱編:4013),臺北市松山區民生東路5段180號前(箱編:4013),121.5633012,25.0584047,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5633012, 25.0584047]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路5段180號前(箱編:4013)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.5633012, 25.0584047, 121.5633012, 25.0584047]
		},",大同區,39
3,松山區,三民路,113巷口(箱編:4035),臺北市松山區三民路113巷口(箱編:4035),121.56342,25.057956,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56342, 25.057956]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區三民路113巷口(箱編:4035)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.56342, 25.057956, 121.56342, 25.057956]
		},",大安區,34
4,松山區,民生東路,5段188號前(箱編:4032),臺北市松山區民生東路5段188號前(箱編:4032),121.5619842,25.0586844,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5619842, 25.0586844]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路5段188號前(箱編:4032)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.5619842, 25.0586844, 121.5619842, 25.0586844]
		},",中山區,25
5,松山區,民權東路,5段10號(箱編:4010),臺北市松山區民權東路5段10號(箱編:4010),121.563652,25.06279,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.563652, 25.06279]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民權東路5段10號(箱編:4010)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.563652, 25.06279, 121.563652, 25.06279]
		},",中正區,23
6,松山區,民權東路,4段200號前(箱編:4054),臺北市松山區民權東路4段200號前(箱編:4054),121.562868,25.06273,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.562868, 25.06273]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民權東路4段200號前(箱編:4054)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.562868, 25.06273, 121.562868, 25.06273]
		},",內湖區,77
7,松山區,健康路,健康路174號長壽公園人行道(箱編:0000),臺北市松山區健康路健康路174號長壽公園人行道(箱編:0000),121.5589966,25.0538041,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5589966, 25.0538041]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區健康路健康路174號長壽公園人行道(箱編:0000)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.5589966, 25.0538041, 121.5589966, 25.0538041]
		},",文山區,37
8,松山區,南京東路,5段346號公園入口佈告欄(箱編:0000),臺北市松山區南京東路5段346號公園入口佈告欄(箱編:0000),121.569131,25.051108,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.569131, 25.051108]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區南京東路5段346號公園入口佈告欄(箱編:0000)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.569131, 25.051108, 121.569131, 25.051108]
		},",北投區,38
9,松山區,民生東路,5段186號前(箱編:4033),臺北市松山區民生東路5段186號前(箱編:4033),121.563605,25.058502,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.563605, 25.058502]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區民生東路5段186號前(箱編:4033)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.563605, 25.058502, 121.563605, 25.058502]
		},",松山區,34
10,松山區,健康路,325巷7號公佈欄(箱編:0000),臺北市松山區健康路325巷7號公佈欄(箱編:0000),121.567131,25.055672,"隨手清狗便，違者最高罰鍰新臺幣6,000元",,,,,"{
			@@type@@: @@Feature@@,
			@@id@@: @@Dog_Waste_Cleanup_Bag_Box.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.567131, 25.055672]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {
				@@address@@: @@臺北市松山區健康路325巷7號公佈欄(箱編:0000)@@,@@area@@: @@松山區@@
			},
			@@bbox@@: [121.567131, 25.055672, 121.567131, 25.055672]
		},",信義區,34
