ID(序號),位置(Location),Area(行政區),Address(地址),Longitude(經度),Latitude(緯度),,,,,
1,榮富公園,北投區,臺北市北投區榮華三路與磺溪旁,121.5247,25.11433,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.5247, 25.11433]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@榮富公園@@,
				@@address@@: @@臺北市北投區榮華三路與磺溪旁@@,
				@@area@@: @@北投區@@
			},
			@@bbox@@: [121.5247, 25.11433, 121.5247, 25.11433]
		},",,北投區,13
2,和平青草園公園,萬華區,臺北市萬華區艋舺大道與西園路2段交叉口,121.49722,25.03267,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.49722, 25.03267]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@和平青草園公園@@,
				@@address@@: @@臺北市萬華區艋舺大道與西園路2段交叉口@@,
				@@area@@: @@萬華區@@
			},
			@@bbox@@: [121.49722, 25.03267, 121.49722, 25.03267]
		},",,萬華區,5
3,道南河濱公園,文山區,臺北市文山區景美恆光橋下游右側,121.56869,24.98167,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.56869, 24.98167]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@道南河濱公園@@,
				@@address@@: @@臺北市文山區景美恆光橋下游右側@@,
				@@area@@: @@文山區@@
			},
			@@bbox@@: [121.56869, 24.98167, 121.56869, 24.98167]
		},",,文山區,8
4,山水綠生態公園,南港區,臺北市南港區南深路37號,121.62499,25.0293,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.62499, 25.0293]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@山水綠生態公園@@,
				@@address@@: @@臺北市南港區南深路37號@@,
				@@area@@: @@南港區@@
			},
			@@bbox@@: [121.62499, 25.0293, 121.62499, 25.0293]
		},",,南港區,9
5,建成公園,大同區,臺北市大同區承德路2段35號旁,121.51858,25.05417,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.51858, 25.05417]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@建成公園@@,
				@@address@@: @@臺北市大同區承德路2段35號旁@@,
				@@area@@: @@大同區@@
			},
			@@bbox@@: [121.51858, 25.05417, 121.51858, 25.05417]
		},",,大同區,6
6,潭美國小,內湖區,臺北市內湖區行善路179號,121.58107,25.05921,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.58107, 25.05921]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@潭美國小@@,
				@@address@@: @@臺北市內湖區行善路179號@@,
				@@area@@: @@內湖區@@
			},
			@@bbox@@: [121.58107, 25.05921, 121.58107, 25.05921]
		},",,內湖區,6
7,古亭國小,大安區,臺北市大安區羅斯福路3段201號,121.52848,25.02067,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.52848, 25.02067]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@古亭國小@@,
				@@address@@: @@臺北市大安區羅斯福路3段201號@@,
				@@area@@: @@大安區@@
			},
			@@bbox@@: [121.52848, 25.02067, 121.52848, 25.02067]
		},",,大安區,8
8,文林國小,北投區,臺北市北投區文林北路155號,121.51475,25.10593,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.51475, 25.10593]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@文林國小@@,
				@@address@@: @@臺北市北投區文林北路155號@@,
				@@area@@: @@北投區@@
			},
			@@bbox@@: [121.51475, 25.10593, 121.51475, 25.10593]
		},",,信義區,5
9,榮華公園,北投區,臺北市北投區明德路150巷,121.52212,25.11081,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.52212, 25.11081]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@榮華公園@@,
				@@address@@: @@臺北市北投區明德路150巷@@,
				@@area@@: @@北投區@@
			},
			@@bbox@@: [121.52212, 25.11081, 121.52212, 25.11081]
		},",,中山區,9
10,石潭公園,內湖區,臺北市內湖區成功路2段東側,121.59173,25.06351,,"	{
			@@type@@: @@Feature@@,
			@@id@@: @@Inclusive_Playground_Information.fid-3d097ead_1887944e30e_3fc5@@,
			@@geometry@@: {
				@@type@@: @@Point@@,
				@@coordinates@@: [121.59173, 25.06351]
			},
			@@geometry_name@@: @@geom@@,
			@@properties@@: {@@name@@: @@石潭公園@@,
				@@address@@: @@臺北市內湖區成功路2段東側@@,
				@@area@@: @@內湖區@@
			},
			@@bbox@@: [121.59173, 25.06351, 121.59173, 25.06351]
		},",,松山區,4
