行政區,路名,位置,經度,緯度,備註
松山區,南京東路,4段與敦化北路口(箱編:3019),121.549319,25.052197,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,民生東路,5段180號前(箱編:4013),121.5633012,25.0584047,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,三民路,113巷口(箱編:4035),121.56342,25.057956,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,民生東路,5段188號前(箱編:4032),121.5619842,25.0586844,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,民權東路,5段10號(箱編:4010),121.563652,25.06279,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,民權東路,4段200號前(箱編:4054),121.562868,25.06273,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,健康路,健康路174號長壽公園人行道(箱編:0000),121.5589966,25.0538041,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,南京東路,5段346號公園入口佈告欄(箱編:0000),121.569131,25.051108,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,民生東路,5段186號前(箱編:4033),121.563605,25.058502,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,健康路,325巷7號公佈欄(箱編:0000),121.567131,25.055672,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,光復北路,165巷口(箱編:4009),121.555448,25.057199,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,民生東路,5段163之1號右側(箱編:4003),121.56305,25.059082,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,南京東路,4段55之1號-捷運台北小巨蛋5號出口附近(箱編:1014),121.5522933,25.0517606,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,三民路,64號(箱編:1015),121.563908,25.054931,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,寶清街,21號公園入口處公佈欄(箱編:0000),121.568823,25.050216,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,敦化北路,5號市立體育場公車站旁(箱編:2030),121.549221,25.049045,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,南京東路,4段2號捷運小巨蛋2號出口(箱編:2058),121.550791,25.051583,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,敦化北路,2號-八德路2段與敦化北路交叉口公車站對面(箱編:2078),121.548629,25.048381,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,敦化北路,150號(箱編:2003),121.548679,25.054613,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,敦化北路,100號(箱編:2005),121.548661,25.053381,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,撫遠街,塔悠路(迎風狗運動公園01),121.565726,25.072076,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,撫遠街,塔悠路(迎風狗運動公園02),121.56558,25.071985,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,撫遠街,塔悠路(迎風狗運動公園03),121.565468,25.072416,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
松山區,撫遠街,塔悠路(迎風狗運動公園04),121.56496,25.072211,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
