ID(序號),pm_name(公園名稱),pm_Longitude(經度),pm_Latitude(緯度),pm_unit(管理單位),pm_const_year(建造年度),pm_location(公園位置),pm_type(公園類別),pm_attributes(公園屬性)
1,前山公園,121.5484437,25.15057652,花卉試驗中心,1974,臺北市北投區建國街4號旁及紗帽路117號對面,公園,一般
2,陽明公園,121.5390112,25.15901675,花卉試驗中心,1950,臺北市北投區湖山路二段,公園,一般
3,湖山綠地,121.5438304,25.1517873,花卉試驗中心,1977,台北市北投區湖山路一段,綠地,一般
4,住六(公一)公園,121.5594925,25.13691396,花卉試驗中心,2011,臺北市陽明山住六(公一)重劃區  臺北市士林區富館街附近,公園,一般
5,住六(公二)公園,121.5576499,25.13760535,花卉試驗中心,2011,陽明山6-6重劃區(臺北市士林區草東街附近),公園,一般
6,花卉試驗中心,121.5444106,25.13501543,花卉試驗中心,1980,臺北市士林區仰德大道4段175巷32號,公園,一般
7,士林4號綠地,121.5462723,25.13688088,花卉試驗中心,1971,凱旋路與格致路交叉口,綠地,一般
8,九華公園,121.5613785,25.08859062,花卉試驗中心,1997,內湖路一段91巷39弄35-1號,公園,一般
9,下灣公園,121.5906982,25.06681061,花卉試驗中心,1999,內湖成功路二段189號旁,公園,一般
10,上灣公園,121.5958405,25.06546021,花卉試驗中心,1999,民權東路六段210巷43號旁,公園,一般
11,大坑公園,121.598706,25.069037,花卉試驗中心,2004,民權東路六段191巷50號對面,公園,一般
12,大港墘公園,121.5729968,25.0774149,花卉試驗中心,2018,台北市內湖區港墘里瑞光路393號,公園,共融
13,大湖公園,121.602695,25.082976,花卉試驗中心,1979,成功路五段31號,公園,一般
14,山腳公園,121.5799027,25.08408928,花卉試驗中心,1996,環山路三段18號對面,公園,一般
15,五分公園,121.6147919,25.0671196,花卉試驗中心,1991,安康路448號對面,公園,一般
16,內湖125號公園,121.6112595,25.06469917,花卉試驗中心,2003,南湖大橋東側與中山高速公路南側,公園,一般
17,文心公園,121.5841827,25.06545067,花卉試驗中心,1996,新湖二路及新湖三路交接處,公園,一般
18,文湖公園,121.560993,25.087427,花卉試驗中心,1998,內湖路1段91巷35弄40號對面,公園,一般
19,文德3號公園,121.5771179,25.07509041,花卉試驗中心,1995,內湖文德路50號至江南街71巷16弄,公園,一般
20,文德二號公園,121.5837402,25.07785988,花卉試驗中心,1996,文德路208巷旁,公園,一般
21,仙樹公園,121.5690002,25.08560944,花卉試驗中心,2001,環山路1段59巷14弄2號對面,公園,一般
22,北勢湖公園,121.5616837,25.08374977,花卉試驗中心,1996,內湖路一段66號旁(環保公園),公園,一般
23,安泰公園,121.6186371,25.07408905,花卉試驗中心,1992,安泰街45巷11弄旁,公園,一般
24,安康公園(下),121.6106186,25.06720924,花卉試驗中心,1990,康寧路三段220號南湖高中旁,公園,一般
25,安康公園(上),121.612381,25.06712914,花卉試驗中心,1989,康寧路三段245巷42號前,公園,一般
26,安湖三號公園,121.6156921,25.07041931,花卉試驗中心,1984,東湖路113巷49弄5號前,公園,一般
27,安湖公園,121.6154175,25.07402039,花卉試驗中心,2003,東湖路113巷141號前,公園,一般
28,行善公園,121.5755768,25.0532608,花卉試驗中心,1996,南京東路六段32號旁,公園,一般
29,西安公園,121.567482,25.08745003,花卉試驗中心,1991,環山路一段136巷10弄10號對面,公園,一般
30,西康二號公園,121.5639267,25.08498001,花卉試驗中心,2010,內湖路1段203巷25號,公園,一般
31,西康公園,121.5643921,25.08312035,花卉試驗中心,1988,內湖路一段217巷旁,公園,一般
32,西湖公園,121.5703888,25.08361054,花卉試驗中心,2001,內湖路一段387巷3弄5-11號旁(恕德家商旁),公園,一般
33,扶輪親恩公園,121.5797501,25.06670952,花卉試驗中心,1996,民權東路六段30號旁,公園,一般
34,明美公園,121.5861969,25.06221962,花卉試驗中心,2010,南京東路六段北側（羊稠小段五期重劃區）,公園,特色
35,東湖一號公園,121.6121368,25.07559967,花卉試驗中心,1984,康寧路三段189巷163弄17號前,公園,一般
36,東湖二號公園,121.6109238,25.07389069,花卉試驗中心,1984,康寧路三段99巷39弄27號前,公園,一般
37,東湖四號公園,121.6180801,25.07044983,花卉試驗中心,1984,康樂街110巷16弄20號(康樂派出所前),公園,一般
38,金瑞公園,121.5879517,25.08795929,花卉試驗中心,1987,金龍路213巷1弄28號前,公園,一般
39,金龍公園,121.590799,25.08543218,花卉試驗中心,1992,金龍路112巷旁(碧湖國小旁),公園,一般
40,長青公園,121.5817413,25.0809803,花卉試驗中心,2001,內湖路二段103巷34號旁,公園,一般
41,南湖一號公園,121.6110916,25.06913948,花卉試驗中心,1996,康寧路三段180巷22號對面(環保公園),公園,一般
42,洲子1號公園,121.5643387,25.07957077,花卉試驗中心,1996,臺北市內湖堤頂大道、基湖路交叉口（環保公園、六期重劃）,公園,一般
43,美善公園,121.5785828,25.05699921,花卉試驗中心,1996,行善路59巷20弄2號旁,公園,一般
44,畚箕湖公園,121.560064,25.089436,花卉試驗中心,2001,文湖街21巷84至90號對面,公園,一般
45,康湖二號公園,121.6088,25.074042,花卉試驗中心,2009,成功路五段450巷23弄23號旁,公園,一般
46,康湖公園,121.6087265,25.07468033,花卉試驗中心,2001,成功路五段420巷30號旁,公園,一般
47,康寧公園,121.6095886,25.0689106,花卉試驗中心,1990,民權東路六段296巷121號對面,公園,一般
48,清白公園,121.5952835,25.08169937,花卉試驗中心,2001,成功路四段167巷16號對面（康寧國小旁）,公園,一般
49,港都公園,121.5752335,25.0827198,花卉試驗中心,1989,港華街40號旁(麗山國中後),公園,一般
50,港華一號公園,121.573586,25.087734,花卉試驗中心,1983,環山路二段50巷2號旁,公園,一般
51,港華二號公園,121.5738373,25.08778954,花卉試驗中心,1983,環山路二段50巷11號旁,公園,一般
52,港華三號公園,121.575058,25.0866909,花卉試驗中心,1983,環山路二段68巷14號麗山活動中心旁,公園,一般
53,港華六號公園,121.5746231,25.08426094,花卉試驗中心,1983,港華街85巷21號前,公園,一般
