ID(序號),Name(共融式遊戲場名稱),Area(行政區),Address(地址),Longitude(經度),Latitude(緯度)
1,榮富公園,北投區,臺北市北投區榮華三路與磺溪旁,121.5247,25.11433
2,和平青草園公園,萬華區,臺北市萬華區艋舺大道與西園路2段交叉口,121.49722,25.03267
3,道南河濱公園,文山區,臺北市文山區景美恆光橋下游右側,121.56869,24.98167
4,山水綠生態公園,南港區,臺北市南港區南深路37號,121.62499,25.0293
5,建成公園,大同區,臺北市大同區承德路2段35號旁,121.51858,25.05417
6,潭美國小,內湖區,臺北市內湖區行善路179號,121.58107,25.05921
7,古亭國小,大安區,臺北市大安區羅斯福路3段201號,121.52848,25.02067
8,文林國小,北投區,臺北市北投區文林北路155號,121.51475,25.10593
9,榮華公園,北投區,臺北市北投區明德路150巷,121.52212,25.11081
10,石潭公園,內湖區,臺北市內湖區成功路2段東側,121.59173,25.06351
11,萬芳4號公園,文山區,臺北市文山區萬和街1號對面,121.56839,25.00121
12,樂活公園,內湖區,臺北市內湖區康樂街61巷15號旁,121.6186,25.06819
13,興隆公園,文山區,臺北市文山區興隆路2段154巷與仙岩路交口,121.55175,24.99998
14,大港墘公園,內湖區,臺北市內湖區瑞光路393巷旁,121.57374,25.07799
15,眷村文化公園,信義區,臺北市信義區松勤路與莊敬路交口(信義國小西側),121.56262,25.03013
16,景華公園,文山區,臺北市文山區景興路與景華街交口,121.54318,24.99574
17,明水公園,中山區,臺北市中山區北安路538巷1弄,121.54869,25.07912
18,三民公園,松山區,臺北市松山區三民路、撫遠街298號,121.56744,25.06185
19,聯成公園,南港區,臺北市南港區忠孝東路6段250巷1弄,121.58887,25.04829
20,福中公園,士林區,臺北市士林區福港街129巷及107巷交會處,121.51895,25.08827
21,玉成公園,南港區,臺北市南港區中坡南路55號,121.5857,25.04276
22,石牌公園,北投區,臺北市北投區石牌路1段39巷內,121.50957,25.11741
23,立農公園,北投區,臺北市北投區承德路7段與吉利街口,121.50356,25.11907
24,四分綠地,南港區,臺北市南港區研究院路2段182巷58弄旁,121.61463,25.03628
